"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 23, 2025 8:15:44 AM PST","25187401591","Order","S01-9867034-6890823","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","sim1.stores.amazon.com","Standard Orders","Amazon","ARABI","GA","31712","","0","0","0","0","0","0","0","0","0","0","0","0","-10.60","0","0","-10.60"
"Dec 23, 2025 8:28:21 AM PST","25187401591","Order","S01-9453352-8169244","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath – High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emergency (Small)","1","sim1.stores.amazon.com","Standard Orders","Amazon","BOX ELDER","SD","57719","","0","0","0","0","0","0","0","0","0","0","0","0","-10.60","0","0","-10.60"
"Dec 23, 2025 9:14:09 AM PST","25187401591","Order","S01-8995522-6599622","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","sim1.stores.amazon.com","Standard Orders","Amazon","GRAND ISLAND","NY","14072","","0","0","0","0","0","0","0","0","0","0","0","0","-10.60","0","0","-10.60"
"Dec 23, 2025 9:18:17 AM PST","25187401591","Order","113-4464234-3593032","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","amazon.com","Standard Orders","Amazon","CLEVELAND","OH","44111","MarketplaceFacilitator","17.99","1.44","0","0","0","0","0","0","0","0","-1.44","-2.70","-5.68","0","0","9.61"
"Dec 23, 2025 10:34:17 AM PST","25187401591","Order","113-0277883-1494662","C-axe-01","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","HORN LAKE","MS","38637","MarketplaceFacilitator","10.99","0.77","0.57","0","0","0","0","0","-0.57","0","-0.77","-1.65","-6.10","0","0","3.24"
"Dec 23, 2025 11:58:32 AM PST","25187401591","Order","114-6109790-7634658","Axe-F-R-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","BEND","OR","97702","","34.41","0","0","0","0","0","0","0","-3.44","0","0","-4.65","-6.24","0","0","20.08"
"Dec 23, 2025 12:36:07 PM PST","25187401591","Refund","114-1246904-9674658","Axe-F-R-S","Grumpy Bear 11"" Survival Axe Camping Hatchet - Forged High Carbon Steel Blade with Walnut Wood Handle - Shock-Absorbing, Anti-Slip Grip - Ideal for Bu","1","amazon.com","Standard Orders","Amazon","Poughkeepsie","New York","12603","MarketplaceFacilitator","-34.41","-2.80","0","0","0","0","0","0","0","0","2.80","4.13","0","0","0","-30.28"
"Dec 23, 2025 2:00:39 PM PST","25187401591","Order","113-4213670-9958649","GB-CA-02-EAGLE","Grumpy Bear Camping Hatchet, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival (Eagle)","1","amazon.com","Standard Orders","Amazon","STATESBORO","GA","30458","MarketplaceFacilitator","19.99","1.60","0","0","0","0","0","0","0","0","-1.60","-3.00","-5.68","0","0","11.31"
"Dec 23, 2025 2:39:17 PM PST","25187401591","Order","114-2236120-1482623","C-axe-02","Full Tang Survival Camping Axe with Wood Ergonomic Handle and Nylon Sheath Sheath - High Carbon Stainless Steel, Multi-Tool for Outdoor, Hunting, Emer","1","amazon.com","Standard Orders","Amazon","REGO PARK","NY","11374","MarketplaceFacilitator","10.99","0.98","0","0","0","0","0","0","0","0","-0.98","-1.65","-6.44","0","0","2.90"
"Dec 23, 2025 3:07:54 PM PST","25187401591","Order","S01-3072235-4852440","GB-CA-02-LION","Grumpy Bear Camping Hatchet with Lion Carving, Full Tang Outdoor Axe with Decorative Handle, Durable Forged Blade for Hiking, Bushcraft, and Survival","1","sim1.stores.amazon.com","Standard Orders","Amazon","CANTON","PA","17724","","0","0","0","0","0","0","0","0","0","0","0","0","-10.60","0","0","-10.60"
