"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in CAD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks and shipping holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","gift wrap credits tax","Regulatory fee","Tax on regulatory fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Dec 4, 2025 6:52:27 a.m. PST","25070279451","Order","701-4989262-3684251","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Woodstock","New Brunswick","E7M 4G","Combined TCS+MTC","25.73","3.86","0","0","0","0","0","0","0","0","-3.86","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 6:54:18 a.m. PST","25070279451","Order","701-9946122-6918667","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Bedford","Nova Scotia","B4B 0R","Combined TCS+MTC","43.99","5.23","0","0","0","0","0","0","-6.60","0","-5.23","-5.61","-6.49","0","0","25.29"
"Dec 4, 2025 6:56:43 a.m. PST","25070279451","Order","701-5859173-7407419","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Laval","Quebec","H7X 3Y","Combined TCS+MTC","28.49","4.27","0","0","0","0","0","0","0","0","-4.27","-4.27","-7.13","0","0","17.09"
"Dec 4, 2025 7:25:49 a.m. PST","25070279451","Order","702-7773903-9498667","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Edmonton","Alberta","T6E 0L","Combined TCS+MTC","25.73","1.29","0","0","0","0","0","0","0","0","-1.29","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 7:41:28 a.m. PST","25070279451","Order","701-9301259-7518648","HS1901","Dream Reach 6"" Professional Hair Cutting Scissors Japan 440C Steel Thinning Scissor for Men/Women Cutting for Salon/Barber/Home (Straight Scissors)","1","amazon.ca","Amazon","Ottawa","Ontario","K2J 1P","Combined TCS+MTC","43.99","2.96","0","0","0","0","0","0","-21.20","0","-2.96","-3.42","-6.49","0","0","12.88"
"Dec 4, 2025 7:46:06 a.m. PST","25070279451","Order","701-5334693-2379407","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Pitt Meadows","British Columbia","V3Y 0G","Combined TCS+MTC","25.73","3.09","0","0","0","0","0","0","0","0","-3.09","-3.86","-8.19","0","0","13.68"
"Dec 4, 2025 7:46:23 a.m. PST","25070279451","Order","701-2629379-0838603","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Listuguj","Quebec","G0C2R","Combined TCS+MTC","28.49","4.27","0","0","0","0","0","0","0","0","-4.27","-4.27","-7.13","0","0","17.09"
"Dec 4, 2025 11:59:06 a.m. PST","25070279451","Order","701-2521256-7875455","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","North Vancouver","BC","V7L 2E","Combined TCS+MTC","28.49","3.42","0","0","0","0","0","0","0","0","-3.42","-4.27","-7.13","0","0","17.09"
"Dec 4, 2025 2:01:19 p.m. PST","25070279451","Order","S01-8072177-8929257","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sheath & Gift Box, Gift for Men and Chefs","2","siprod.stores.amazon.ca","Amazon","MARYFIELD","SK","S0G 3K","","0","0","0","0","0","0","0","0","0","0","0","0","-8.17","0","0","-8.17"
"Dec 4, 2025 2:01:19 p.m. PST","25070279451","Order","S01-8072177-8929257","","FBA transportation fee","","siprod.stores.amazon.ca","Amazon","MARYFIELD","SK","S0G 3K","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-8.69","-8.69"
"Dec 4, 2025 3:05:09 p.m. PST","25070279451","Refund","701-4060241-6469042","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sh","1","amazon.ca","Amazon","Les Cèdres","Quebec","J7T0C","Combined TCS+MTC","-36.99","-4.99","0","0","0","0","0","0","3.70","0","4.99","3.99","0","0","0","-29.30"
"Dec 4, 2025 3:12:09 p.m. PST","25070279451","Order","702-5849389-6808242","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Dieppe","New Brunswick","E1A 0L","Combined TCS+MTC","25.73","3.86","0","0","0","0","0","0","0","0","-3.86","-3.86","-7.65","0","0","14.22"
"Dec 4, 2025 4:10:53 p.m. PST","25070279451","","89a1257a-d417-4220-9c1f-aa3a0db0c769","","秒杀-2025/10/14 1-43-6-198","","Amazon.ca","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-40.00","0","-40.00"
"Dec 4, 2025 5:20:58 p.m. PST","25070279451","Order","701-2344928-4979405","9B-5VGN-40SH","Dream Reach 2 Pack Kitchen Scissors, Premium All-Metal Kitchen Shears, Heavy Duty Poultry Shears for Food, Food-Grade Stainless Steel Scissors, Gift f","1","amazon.ca","Amazon","Vancouver","British Columbia","V6Z 1C","Combined TCS+MTC","25.73","3.09","0","0","0","0","0","0","0","0","-3.09","-3.86","-8.19","0","0","13.68"
"Dec 4, 2025 6:18:43 p.m. PST","25070279451","Order","S01-4824728-1858860","KF02-BBJ","Dream Reach Chef Knife, Japanese Kitchen Knife, Sharp Stainless Steel Viking Style Meat Knife with Wooden Handle, Feather Design Cooking Knife with Sheath & Gift Box, Gift for Men and Chefs","1","siprod.stores.amazon.ca","Amazon","SASKATOON","SK","S7H 1J","","0","0","0","0","0","0","0","0","0","0","0","0","-4.09","0","0","-4.09"
